,Name,Height,CO2,Pollution,Crown_height,Crown_width,Canopy,Leaf_area,Leaf_biomass,circoscrizione
6169,Aesculus hippocastanum,3.0,1.2,9.5,0.9,2.0,3.1,6.6,0.5,S.GIUSEPPE-S.CHIARA
6168,Aesculus hippocastanum,4.0,2.2,14.7,1.2,2.5,4.9,10.1,0.7,S.GIUSEPPE-S.CHIARA
6167,Aesculus hippocastanum,4.5,2.5,28.9,1.3,3.5,9.6,19.9,1.4,S.GIUSEPPE-S.CHIARA
6166,Aesculus hippocastanum,4.0,2.4,32.3,1.2,4.0,12.6,22.2,1.6,S.GIUSEPPE-S.CHIARA
6165,Aesculus hippocastanum,4.5,2.2,36.7,1.3,4.0,12.6,25.3,1.8,S.GIUSEPPE-S.CHIARA
6164,Aesculus hippocastanum,4.0,2.4,21.5,1.2,3.5,9.6,14.9,1.0,S.GIUSEPPE-S.CHIARA
6163,Aesculus hippocastanum,4.0,2.4,23.2,1.2,3.5,9.6,16.0,1.1,S.GIUSEPPE-S.CHIARA
6173,Aesculus hippocastanum,5.5,1.9,22.0,1.7,3.5,9.6,15.2,1.1,S.GIUSEPPE-S.CHIARA
6162,Aesculus hippocastanum,5.0,3.9,35.8,1.5,4.0,12.6,24.7,1.7,S.GIUSEPPE-S.CHIARA
6186,Aesculus hippocastanum,3.5,1.6,12.3,1.0,2.5,4.9,8.5,0.6,S.GIUSEPPE-S.CHIARA
6188,Aesculus hippocastanum,3.5,1.1,8.2,1.0,2.0,3.1,5.7,0.4,S.GIUSEPPE-S.CHIARA
6670,Aesculus hippocastanum,13.0,8.8,296.5,3.9,8.0,50.3,204.4,14.3,S.GIUSEPPE-S.CHIARA
6669,Aesculus hippocastanum,12.0,9.8,264.4,3.6,7.0,38.5,182.3,12.7,S.GIUSEPPE-S.CHIARA
6666,Aesculus hippocastanum,15.0,9.2,211.3,4.5,6.0,28.3,145.7,10.2,S.GIUSEPPE-S.CHIARA
6663,Aesculus hippocastanum,13.0,8.1,262.4,3.9,7.0,38.5,180.9,12.6,S.GIUSEPPE-S.CHIARA
2489,Aesculus hippocastanum,8.0,9.6,128.7,2.4,6.0,28.3,88.7,6.2,S.GIUSEPPE-S.CHIARA
6205,Aesculus hippocastanum,5.5,2.9,41.6,1.7,4.0,12.6,28.7,2.0,CENTRO STORICO PIEDICASTELLO
6204,Aesculus hippocastanum,5.0,2.9,38.0,1.5,4.0,12.6,26.2,1.8,S.GIUSEPPE-S.CHIARA
6203,Aesculus hippocastanum,4.5,2.9,30.1,1.3,3.5,9.6,20.8,1.5,S.GIUSEPPE-S.CHIARA
6202,Aesculus hippocastanum,4.5,2.9,23.2,1.3,3.5,9.6,16.0,1.1,S.GIUSEPPE-S.CHIARA
6201,Aesculus hippocastanum,5.5,2.5,25.5,1.7,3.5,9.6,17.6,1.2,S.GIUSEPPE-S.CHIARA
6187,Aesculus hippocastanum,4.0,2.9,22.1,1.2,3.0,7.1,15.3,1.1,S.GIUSEPPE-S.CHIARA
6200,Aesculus hippocastanum,4.5,2.9,23.2,1.3,3.5,9.6,16.0,1.1,S.GIUSEPPE-S.CHIARA
6198,Aesculus hippocastanum,4.0,2.2,27.3,1.2,3.5,9.6,18.8,1.3,S.GIUSEPPE-S.CHIARA
6197,Aesculus hippocastanum,12.0,17.7,364.0,3.6,8.0,50.3,251.0,17.6,S.GIUSEPPE-S.CHIARA
6196,Aesculus hippocastanum,3.5,2.0,21.4,1.0,3.5,9.6,14.7,1.0,S.GIUSEPPE-S.CHIARA
6195,Aesculus hippocastanum,3.5,2.0,13.0,1.0,2.5,4.9,8.9,0.6,S.GIUSEPPE-S.CHIARA
6194,Aesculus hippocastanum,3.5,2.6,12.1,1.0,2.5,4.9,8.3,0.6,S.GIUSEPPE-S.CHIARA
6193,Aesculus hippocastanum,3.0,0.9,5.8,0.9,1.5,1.8,4.0,0.3,S.GIUSEPPE-S.CHIARA
6192,Aesculus hippocastanum,3.5,1.6,18.5,1.0,3.0,7.1,12.8,0.9,S.GIUSEPPE-S.CHIARA
6191,Aesculus hippocastanum,11.0,27.1,940.7,3.3,12.0,113.1,648.4,45.3,S.GIUSEPPE-S.CHIARA
6190,Aesculus hippocastanum,3.5,1.6,13.9,1.0,2.5,4.9,9.6,0.7,S.GIUSEPPE-S.CHIARA
6189,Aesculus hippocastanum,3.5,1.3,7.4,1.0,2.0,3.1,5.1,0.4,S.GIUSEPPE-S.CHIARA
6199,Aesculus hippocastanum,5.0,2.9,35.7,1.5,4.0,12.6,24.6,1.7,S.GIUSEPPE-S.CHIARA
5625,Aesculus hippocastanum,14.0,24.9,688.2,4.2,10.0,78.5,474.4,33.2,S.GIUSEPPE-S.CHIARA
6161,Aesculus hippocastanum,4.0,2.9,38.0,1.2,4.0,12.6,26.2,1.8,S.GIUSEPPE-S.CHIARA
6159,Aesculus hippocastanum,2.5,1.2,9.5,0.8,2.0,3.1,6.6,0.5,S.GIUSEPPE-S.CHIARA
6132,Aesculus hippocastanum,10.5,14.7,310.3,3.2,8.0,50.3,213.9,15.0,S.GIUSEPPE-S.CHIARA
6131,Aesculus hippocastanum,8.5,11.4,184.9,2.6,7.0,38.5,127.5,8.9,S.GIUSEPPE-S.CHIARA
6130,Aesculus hippocastanum,6.0,1.9,48.9,1.8,4.5,15.9,33.7,2.4,S.GIUSEPPE-S.CHIARA
6129,Aesculus hippocastanum,7.0,2.5,42.9,2.1,4.5,15.9,29.5,2.1,S.GIUSEPPE-S.CHIARA
6128,Aesculus hippocastanum,7.0,2.1,66.9,2.1,5.0,19.6,46.1,3.2,S.GIUSEPPE-S.CHIARA
6127,Aesculus hippocastanum,3.0,1.1,6.0,0.9,1.5,1.8,4.2,0.3,S.GIUSEPPE-S.CHIARA
6126,Aesculus hippocastanum,5.0,3.2,52.8,1.5,4.5,15.9,36.4,2.5,S.GIUSEPPE-S.CHIARA
6125,Aesculus hippocastanum,5.5,3.9,72.4,1.7,5.0,19.6,49.9,3.5,S.GIUSEPPE-S.CHIARA
6124,Aesculus hippocastanum,9.5,15.4,346.6,2.8,8.0,50.3,239.0,16.7,S.GIUSEPPE-S.CHIARA
6123,Aesculus hippocastanum,7.0,4.8,152.2,2.1,7.0,38.5,104.9,7.3,S.GIUSEPPE-S.CHIARA
6133,Aesculus hippocastanum,5.0,1.5,19.9,1.5,3.0,7.1,13.7,1.0,S.GIUSEPPE-S.CHIARA
6122,Aesculus hippocastanum,7.0,2.5,33.6,2.1,4.0,12.6,23.2,1.6,S.GIUSEPPE-S.CHIARA
6120,Aesculus hippocastanum,3.5,0.9,6.1,1.0,1.5,1.8,4.2,0.3,S.GIUSEPPE-S.CHIARA
6119,Aesculus hippocastanum,5.5,3.9,165.7,1.7,7.0,38.5,114.2,8.0,S.GIUSEPPE-S.CHIARA
6118,Aesculus hippocastanum,4.5,1.8,44.9,1.3,4.5,15.9,30.9,2.2,S.GIUSEPPE-S.CHIARA
6116,Aesculus hippocastanum,9.5,15.4,677.2,2.8,11.0,95.0,466.8,32.6,CENTRO STORICO PIEDICASTELLO
6115,Aesculus hippocastanum,3.0,1.2,5.2,0.9,1.5,1.8,3.6,0.2,S.GIUSEPPE-S.CHIARA
6114,Aesculus hippocastanum,3.5,1.6,13.9,1.0,2.5,4.9,9.6,0.7,S.GIUSEPPE-S.CHIARA
6113,Aesculus hippocastanum,3.5,1.4,10.4,1.0,2.5,4.9,7.1,0.5,S.GIUSEPPE-S.CHIARA
6112,Aesculus hippocastanum,3.5,1.3,13.0,1.0,2.5,4.9,9.0,0.6,S.GIUSEPPE-S.CHIARA
6111,Aesculus hippocastanum,10.0,15.5,722.7,3.0,11.0,95.0,498.2,34.8,S.GIUSEPPE-S.CHIARA
6110,Aesculus hippocastanum,10.0,13.4,658.6,3.0,11.0,95.0,454.0,31.8,S.GIUSEPPE-S.CHIARA
6121,Aesculus hippocastanum,4.5,1.6,28.1,1.3,4.0,12.6,19.4,1.4,S.GIUSEPPE-S.CHIARA
6160,Aesculus hippocastanum,3.0,1.2,6.3,0.9,1.5,1.8,4.3,0.3,S.GIUSEPPE-S.CHIARA
6134,Aesculus hippocastanum,6.0,2.7,34.8,1.8,4.0,12.6,24.0,1.7,S.GIUSEPPE-S.CHIARA
6136,Aesculus hippocastanum,5.5,1.9,53.2,1.7,5.0,19.6,36.7,2.6,S.GIUSEPPE-S.CHIARA
6158,Aesculus hippocastanum,2.5,0.9,4.9,0.8,1.5,1.8,3.4,0.2,S.GIUSEPPE-S.CHIARA
6157,Aesculus hippocastanum,12.0,18.6,763.7,3.6,13.0,132.7,526.5,36.8,S.GIUSEPPE-S.CHIARA
6156,Aesculus hippocastanum,3.5,1.8,11.0,1.0,2.5,4.9,7.6,0.5,S.GIUSEPPE-S.CHIARA
6155,Aesculus hippocastanum,12.5,31.3,1016.7,3.8,12.5,122.7,700.8,49.0,S.GIUSEPPE-S.CHIARA
6154,Aesculus hippocastanum,3.5,1.8,11.8,1.0,2.5,4.9,8.1,0.6,S.GIUSEPPE-S.CHIARA
6153,Aesculus hippocastanum,12.0,17.7,706.5,3.6,12.0,113.1,487.0,34.1,S.GIUSEPPE-S.CHIARA
6152,Aesculus hippocastanum,12.0,19.1,668.9,3.6,12.0,113.1,461.1,32.2,S.GIUSEPPE-S.CHIARA
6151,Aesculus hippocastanum,12.0,16.9,795.1,3.6,12.0,113.1,548.1,38.3,S.GIUSEPPE-S.CHIARA
6150,Aesculus hippocastanum,12.5,21.4,894.3,3.8,12.0,113.1,616.5,43.1,S.GIUSEPPE-S.CHIARA
6149,Aesculus hippocastanum,11.0,13.5,461.0,3.3,10.0,78.5,317.8,22.2,S.GIUSEPPE-S.CHIARA
6135,Aesculus hippocastanum,9.0,3.6,44.1,2.7,4.0,12.6,30.4,2.1,S.GIUSEPPE-S.CHIARA
6148,Aesculus hippocastanum,12.0,15.6,569.5,3.6,11.0,95.0,392.6,27.5,S.GIUSEPPE-S.CHIARA
6146,Aesculus hippocastanum,11.0,21.3,786.1,3.3,12.0,113.1,541.9,37.9,S.GIUSEPPE-S.CHIARA
6145,Aesculus hippocastanum,10.0,15.9,611.6,3.0,10.0,78.5,421.6,29.5,S.GIUSEPPE-S.CHIARA
6144,Aesculus hippocastanum,11.0,16.8,616.5,3.3,11.0,95.0,425.0,29.7,S.GIUSEPPE-S.CHIARA
6143,Aesculus hippocastanum,9.0,10.3,310.1,2.7,8.0,50.3,213.8,14.9,S.GIUSEPPE-S.CHIARA
6142,Aesculus hippocastanum,9.0,9.6,249.0,2.7,8.0,50.3,171.7,12.0,S.GIUSEPPE-S.CHIARA
6141,Aesculus hippocastanum,11.0,17.2,513.0,3.3,9.0,63.6,353.6,24.7,S.GIUSEPPE-S.CHIARA
6140,Aesculus hippocastanum,3.0,0.9,8.8,0.9,2.0,3.1,6.1,0.4,S.GIUSEPPE-S.CHIARA
6139,Aesculus hippocastanum,7.0,4.0,78.4,2.1,5.0,19.6,54.1,3.8,S.GIUSEPPE-S.CHIARA
6138,Aesculus hippocastanum,5.6,1.9,12.8,1.7,2.5,4.9,8.8,0.6,S.GIUSEPPE-S.CHIARA
6137,Aesculus hippocastanum,8.0,12.5,295.5,2.4,8.0,50.3,203.7,14.2,S.GIUSEPPE-S.CHIARA
6147,Aesculus hippocastanum,12.0,21.8,683.2,3.6,10.0,78.5,471.0,32.9,S.GIUSEPPE-S.CHIARA
6672,Aesculus hippocastanum,15.0,7.5,303.8,4.5,8.0,50.3,209.4,14.6,S.GIUSEPPE-S.CHIARA
5624,Aesculus hippocastanum,12.0,17.7,411.3,3.6,8.0,50.3,283.5,19.8,S.GIUSEPPE-S.CHIARA
5622,Aesculus hippocastanum,12.0,17.7,575.6,3.6,10.0,78.5,396.8,27.7,S.GIUSEPPE-S.CHIARA
2871,Aesculus hippocastanum,3.0,1.2,8.4,0.9,2.0,3.1,5.8,0.4,CENTRO STORICO PIEDICASTELLO
2870,Aesculus hippocastanum,10.0,11.5,118.5,3.0,5.0,19.6,81.7,5.7,S.GIUSEPPE-S.CHIARA
